session;group;group_affect;time;sentiment;answer_length;sum_senti;rel_senti
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;3;positive; 15; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;3;sadness; 15; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;3;surprise; 15; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;3;trust; 15; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;4;anger; 10; 1;0,100000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;4;anticipation; 10; 1;0,100000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;4;disgust; 10; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;4;fear; 10; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;4;joy; 10; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;4;negative; 10; 1;0,100000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;4;positive; 10; 0;0,000000000
